handle,variant_1,variant_2,variant_3, price 
adult-loft-bed,1 Side Rail and 2 End Rails,No Accessories,0," 2,215.00 "
adult-loft-bed,2 Side Rails and 2 End Rails,No Accessories,0," 2,565.00 "
adult-loft-bed,Standard (1 Side Rail),Tray,0," 2,010.00 "
adult-loft-bed,2 Side Rails,Tray,0," 2,185.00 "
adult-loft-bed,1 Side Rail and 1 End Rail,Tray,0," 2,170.00 "
adult-loft-bed,2 Side Rails and 1 End Rail,Tray,0," 2,345.00 "
adult-loft-bed,1 Side Rail and 2 End Rails,Tray,0," 2,330.00 "
adult-loft-bed,2 Side Rails and 2 End Rails,Tray,0," 2,680.00 "
adult-loft-bed,Standard (1 Side Rail),Bookshelf,0," 2,555.00 "
adult-loft-bed,2 Side Rails,Bookshelf,0," 2,730.00 "
adult-loft-bed,1 Side Rail and 1 End Rail,Bookshelf,0," 2,715.00 "
adult-loft-bed,2 Side Rails and 1 End Rail,Bookshelf,0," 2,890.00 "
adult-loft-bed,1 Side Rail and 2 End Rails,Bookshelf,0," 2,875.00 "
adult-loft-bed,2 Side Rails and 2 End Rails,Bookshelf,0," 3,225.00 "
king-loft-bed,Standard (1 Side Rail),No Accessories,0," 1,995.00 "
king-loft-bed,2 Side Rails,No Accessories,0," 2,170.00 "
king-loft-bed,1 Side Rail and 1 End Rail,No Accessories,0," 2,155.00 "
king-loft-bed,2 Side Rails and 1 End Rail,No Accessories,0," 2,330.00 "
king-loft-bed,1 Side Rail and 2 End Rails,No Accessories,0," 2,315.00 "
king-loft-bed,2 Side Rails and 2 End Rails,No Accessories,0," 2,665.00 "
king-loft-bed,Standard (1 Side Rail),Tray,0," 2,110.00 "
king-loft-bed,2 Side Rails,Tray,0," 2,285.00 "
king-loft-bed,1 Side Rail and 1 End Rail,Tray,0," 2,270.00 "
king-loft-bed,2 Side Rails and 1 End Rail,Tray,0," 2,445.00 "
king-loft-bed,1 Side Rail and 2 End Rails,Tray,0," 2,430.00 "
king-loft-bed,2 Side Rails and 2 End Rails,Tray,0," 2,780.00 "
king-loft-bed,Standard (1 Side Rail),Bookshelf,0," 2,655.00 "
king-loft-bed,2 Side Rails,Bookshelf,0," 2,830.00 "
king-loft-bed,1 Side Rail and 1 End Rail,Bookshelf,0," 2,815.00 "
king-loft-bed,2 Side Rails and 1 End Rail,Bookshelf,0," 2,990.00 "
king-loft-bed,1 Side Rail and 2 End Rails,Bookshelf,0," 2,975.00 "
king-loft-bed,2 Side Rails and 2 End Rails,Bookshelf,0," 3,325.00 "
contemporary-aluminum-bed,No Accessories,No Trundle,0," 1,450.00 "
contemporary-aluminum-bed,Tray,No Trundle,0," 1,565.00 "
contemporary-aluminum-bed,Tray,Trundle,0," 2,130.00 "
contemporary-aluminum-bed,No Accessories,Trundle,0," 2,015.00 "
contemporary-aluminum-bed,Bookshelf,No Trundle,0," 2,110.00 "
contemporary-aluminum-bed,Bookshelf,Trundle,0," 2,675.00 "
