handle,variant_1,variant_2,variant_3,price
adult-loft-bed,1 Side Rail and 1 End Rail,Bookshelf,0,2605
adult-loft-bed,2 Side Rails and 1 End Rail,Bookshelf,0,2780
adult-loft-bed,1 Side Rail and 2 End Rails,Bookshelf,0,2765
adult-loft-bed,2 Side Rails and 2 End Rails,Bookshelf,0,3115
king-loft-bed,Standard (1 Side Rail),No Accessories,0,1995
king-loft-bed,2 Side Rails,No Accessories,0,2170
king-loft-bed,1 Side Rail and 1 End Rail,No Accessories,0,2155
king-loft-bed,2 Side Rails and 1 End Rail,No Accessories,0,2330
king-loft-bed,1 Side Rail and 2 End Rails,No Accessories,0,2315
king-loft-bed,2 Side Rails and 2 End Rails,No Accessories,0,2665
king-loft-bed,Standard (1 Side Rail),Tray,0,2110
king-loft-bed,2 Side Rails,Tray,0,2285
king-loft-bed,1 Side Rail and 1 End Rail,Tray,0,2270
king-loft-bed,2 Side Rails and 1 End Rail,Tray,0,2445
king-loft-bed,1 Side Rail and 2 End Rails,Tray,0,2430
king-loft-bed,2 Side Rails and 2 End Rails,Tray,0,2780
king-loft-bed,Standard (1 Side Rail),Bookshelf,0,2545
king-loft-bed,2 Side Rails,Bookshelf,0,2720
king-loft-bed,1 Side Rail and 1 End Rail,Bookshelf,0,2705
king-loft-bed,2 Side Rails and 1 End Rail,Bookshelf,0,2880
king-loft-bed,1 Side Rail and 2 End Rails,Bookshelf,0,2865
king-loft-bed,2 Side Rails and 2 End Rails,Bookshelf,0,3215
contemporary-aluminum-bed,No Accessories,No Trundle,0,1450
contemporary-aluminum-bed,Tray,No Trundle,0,1565
contemporary-aluminum-bed,Tray,Trundle,0,2130
contemporary-aluminum-bed,No Accessories,Trundle,0,2015
contemporary-aluminum-bed,Bookshelf,No Trundle,0,2000
contemporary-aluminum-bed,Bookshelf,Trundle,0,2565
